location,continent,location,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,icu_patients_per_million,hosp_patients_per_million,total_tests_per_thousand,new_tests_per_thousand,tests_per_case,total_boosters,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality,excess_mortality_cumulative_per_million
Brazil,0,0,0,0,4,20,24,60,1085,1085,724,820,1085,653,462,414,418,434,653,327,327,45,0,0,0,0,0,0,0,0,0,0,1085,0,0,0,0,1050,1050
British Virgin Islands,0,0,0,0,0,22,22,1054,1054,1054,1053,1054,1054,1040,1054,1006,1007,1008,1040,571,571,1054,0,1054,1054,1054,1054,1054,1054,0,1054,1054,1054,1054,0,1054,0,1054,1054
Brunei,0,0,0,0,1,19,19,59,1073,1073,1070,1071,1073,1054,973,882,882,903,1054,422,422,45,0,0,0,0,0,1073,0,0,0,0,1073,0,0,0,0,1051,1051
Bulgaria,0,0,0,0,0,3,3,56,929,928,543,673,278,889,395,355,830,405,889,297,320,45,0,0,0,0,0,0,0,0,0,0,1074,0,0,0,0,930,930
Burkina Faso,0,0,0,0,0,8,8,58,1072,1072,1055,1070,1035,1072,1072,1036,1039,1043,1072,529,529,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072,1072
Burundi,0,0,0,0,0,13,13,121,1051,1051,1012,1045,900,1028,1045,1000,999,1005,1028,598,598,45,0,0,0,0,0,0,0,0,1051,1051,0,0,0,0,0,1051,1051
Cambodia,0,0,0,0,0,409,409,106,1115,1115,1024,1062,762,887,710,675,663,675,887,405,405,45,0,0,0,0,0,1115,0,0,0,0,0,0,0,0,0,1115,1115
Cameroon,0,0,0,0,0,19,19,67,1076,1076,1068,1076,1051,1058,1074,1004,1003,1006,1058,432,432,45,0,0,0,0,0,0,0,0,1076,1076,0,0,0,0,0,1076,1076
Canada,0,0,0,0,2,46,49,89,76,76,285,294,269,412,357,349,412,368,412,339,339,45,0,0,0,0,0,0,0,0,0,0,1119,0,0,0,0,983,983
Cape Verde,0,0,0,0,0,4,5,81,1062,1062,1062,579,901,1053,1060,997,1001,1001,1053,506,506,45,0,0,0,0,0,1062,0,0,0,0,1062,0,0,0,0,1052,1052
Cayman Islands,0,0,0,0,0,3,4,1069,1069,1069,1065,1065,1056,1047,1039,943,945,949,1047,314,314,1069,0,1069,1069,1069,0,1069,1069,0,1069,1069,1069,1069,0,1069,0,1069,1069
Central African Republic,0,0,0,0,0,69,69,98,1067,1067,1050,1067,1018,1051,1066,1014,1021,1026,1051,454,454,45,0,0,0,0,0,1067,0,0,1067,1067,0,0,0,0,0,1067,1067
Chad,0,0,0,0,0,40,40,88,1063,1063,1041,1063,923,1062,1063,1009,1011,1014,1062,479,479,45,0,0,0,0,0,0,0,0,1063,1063,0,1063,0,0,0,1063,1063
Chile,0,0,0,0,0,28,31,65,38,1088,268,268,275,543,338,328,328,338,543,312,312,45,0,0,0,0,0,0,0,0,0,0,1088,0,0,0,0,938,938
China,0,0,0,0,3,0,3,44,1120,1120,1117,1120,470,1078,458,441,1074,1059,1078,334,511,45,0,0,0,0,0,0,0,0,0,0,1120,0,0,0,0,1120,1120
Colombia,0,0,0,0,6,16,22,56,1076,1076,372,381,379,977,821,731,799,755,977,367,391,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,935,935
Comoros,0,0,0,0,0,6,8,74,1021,1021,1019,1021,956,1021,1021,987,991,992,1021,492,492,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1021,1021
Congo,0,0,0,0,1,18,19,75,1067,1067,1065,1067,1067,1067,1066,1029,1031,1045,1067,594,594,45,0,0,0,0,0,0,0,0,0,0,0,1067,0,0,0,1067,1067
Cook Islands,0,0,0,0,0,339,339,635,635,635,635,635,635,629,635,608,608,610,629,6,6,635,635,635,635,635,635,635,635,635,635,635,635,635,0,635,0,635,635
Costa Rica,0,0,0,0,0,13,14,59,1076,1076,261,261,267,1031,1076,985,985,988,1031,319,319,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1054,1054
Cote d'Ivoire,0,0,0,0,1,18,18,60,1071,1071,411,480,278,1057,900,840,895,1035,1057,386,386,45,0,0,0,0,0,0,0,0,1071,1071,0,1071,0,0,0,1071,1071
Croatia,0,0,0,0,0,23,23,67,1086,227,453,557,250,1085,531,442,452,543,1085,311,311,45,0,0,0,0,0,0,0,0,0,0,1086,0,0,0,0,941,941
Cuba,0,0,0,0,0,6,7,60,1070,1070,600,601,607,704,551,505,497,505,704,448,429,45,0,0,0,0,1070,1070,0,0,0,0,0,0,0,0,0,1048,1048
Curacao,0,0,0,0,0,5,5,1068,1068,1068,1059,1059,986,830,722,622,622,623,830,471,471,1068,0,0,0,0,1068,1068,1068,0,1068,1068,1068,1068,0,1068,0,1068,1068
Cyprus,0,0,0,1,5,16,16,59,265,266,325,326,332,1001,1002,893,912,903,1001,359,359,45,0,0,0,0,0,1073,0,0,0,0,1073,0,0,0,0,930,930
Czechia,0,0,0,0,5,21,34,56,15,10,329,329,335,454,307,304,304,306,454,303,303,45,0,0,0,0,0,1081,0,0,0,0,1081,0,0,0,0,937,937
Democratic Republic of Congo,0,0,0,0,0,10,10,65,1071,1071,1047,1071,1014,1071,1070,1003,1008,1018,1071,469,469,45,0,0,0,0,0,0,0,0,1071,1071,0,1071,0,0,0,1071,1071
Denmark,0,0,0,25,26,41,43,81,23,69,253,253,268,389,323,318,318,351,389,312,312,45,0,0,0,0,0,0,0,0,0,0,1109,0,0,0,0,956,956
Djibouti,0,0,0,0,0,23,23,65,1064,1064,1041,1062,984,1064,1063,1014,1013,1014,1064,465,465,45,0,0,0,0,0,0,0,0,0,0,1064,0,0,0,0,1064,1064
Dominica,0,0,0,0,1,518,518,334,1060,1060,1037,1052,1005,1041,1052,958,960,975,1041,457,457,45,0,1060,1060,1060,0,1060,0,0,1060,1060,1060,0,0,0,0,1060,1060
Dominican Republic,0,0,0,0,0,16,16,64,1081,1081,560,659,264,581,548,492,492,512,581,357,357,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1061,1061
Ecuador,0,0,0,0,5,13,15,61,1081,1081,263,269,439,763,531,507,507,519,763,330,330,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934,934
Egypt,0,0,0,0,0,23,23,73,1097,1097,1091,1097,1060,1055,1087,987,990,996,1055,362,362,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1064,1064
El Salvador,0,0,0,0,1,12,12,65,1063,1063,408,408,414,989,970,877,880,894,989,471,471,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1057,1057
England,0,0,0,1056,1056,1056,1056,1056,13,0,1056,1056,1056,562,302,300,302,302,562,300,300,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,0,1056,1056
Equatorial Guinea,0,0,0,0,1,38,38,84,1067,1067,989,1056,759,1062,1066,987,988,992,1062,572,572,1067,0,0,0,0,0,1067,0,0,1067,1067,0,0,0,0,0,1067,1067
Eritrea,0,0,0,0,0,276,276,130,1061,1061,1060,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,0,0,0,0,0,1061,0,0,0,0,1061,0,0,0,0,1061,1061
Estonia,0,0,0,24,25,51,53,84,993,28,256,260,267,339,332,330,330,330,339,330,330,47,0,0,0,0,0,0,0,0,0,0,1108,0,0,0,0,958,958
Eswatini,0,0,0,0,0,33,33,91,1068,1068,1043,1067,972,1058,1056,996,997,1012,1058,412,412,45,0,0,0,0,0,1068,0,0,0,0,0,0,0,0,0,1068,1068
